state_name,dist_name,area_type,Total,illiterate_males,literate_males,graduate_males,illiterate_females,literate_females,graduate_females,percent_graduate_male,percent_graduate_female
andhra pradesh,Adilabad ,Urban,218845,35851,133025,21833,24483,25486,4427,17,18
andhra pradesh,Nizamabad ,Urban,184324,23945,106685,20217,24088,29606,4381,19,15
andhra pradesh,Karimnagar ,Urban,319695,41756,186917,36509,40976,50046,7100,20,15
andhra pradesh,Medak ,Urban,227779,29250,144664,24156,24860,29005,5494,17,19
andhra pradesh,Hyderabad ,Urban,1096269,129232,731979,170377,64665,170393,47022,24,28
andhra pradesh,Rangareddy ,Urban,1186403,136133,783632,193967,82012,184626,51842,25,29
andhra pradesh,Mahbubnagar ,Urban,201563,26320,118094,24296,28610,28539,5845,21,21
andhra pradesh,Nalgonda ,Urban,214955,22021,137719,30277,23568,31647,6446,22,21
andhra pradesh,Warangal ,Urban,312790,33302,203021,46162,33221,43246,9457,23,22
andhra pradesh,Khammam ,Urban,206861,23512,134256,25841,19364,29729,6531,20,22
andhra pradesh,Srikakulam ,Urban,138911,18402,87329,18296,15773,17407,3405,21,20
andhra pradesh,Vizianagaram ,Urban,157265,22610,101664,20942,14328,18663,4234,21,23
andhra pradesh,Visakhapatnam ,Urban,620049,78512,429722,91213,40619,71196,19268,22,28
andhra pradesh,East Godavari ,Urban,405905,64078,271660,53251,26854,43313,9914,20,23
andhra pradesh,West Godavari ,Urban,260015,32029,176994,32578,17843,33149,6471,19,20
andhra pradesh,Krishna ,Urban,603351,86335,383283,67930,48867,84866,15443,18,19
andhra pradesh,Guntur ,Urban,577679,88047,347889,66782,66697,75046,14086,20,19
andhra pradesh,Prakasam ,Urban,220968,30925,137591,26297,23891,28561,4909,20,18
andhra pradesh,Sri Potti Sriramulu Nellore ,Urban,260810,36006,176375,32118,18503,29926,6252,19,21
andhra pradesh,Y.S.R. ,Urban,312310,48727,195062,31870,33309,35212,6084,17,18
andhra pradesh,Kurnool ,Urban,384378,71693,208399,38299,58177,46109,8156,19,18
andhra pradesh,Anantapur ,Urban,388094,61503,232650,39205,43911,50030,8261,17,17
andhra pradesh,Chittoor ,Urban,395784,42097,263778,49091,30994,58915,11488,19,20
arunachal pradesh ,Tawang,Urban,7818,221,6914,505,172,511,83,8,17
arunachal pradesh ,West Kameng,Urban,5945,758,3435,532,605,1147,204,16,18
arunachal pradesh ,East Kameng ,Urban,4961,660,2778,422,736,787,90,16,12
